Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Unnamed: 10,Target,mass_frac
Sodium aluminum hydride,Sodium tetrahydroaluminate,NaAlH4,13770-96-2,54.004,wh hyg solid,174 dec,,1.24,,,Na,0.42571228233
Sodium aluminum sulfate dodecahydrate,Sodium alum,NaAl(SO4)2+12H2O,10102-71-3,458.281,col cry,≈60,,1.61,39.72,,Al,0.0588756794507
Sodium aluminum sulfate dodecahydrate,Sodium alum,NaAl(SO4)2+12H2O,10102-71-3,458.281,col cry,≈60,,1.61,39.72,,H,0.0527855611723
Sodium aluminum sulfate dodecahydrate,Sodium alum,NaAl(SO4)2+12H2O,10102-71-3,458.281,col cry,≈60,,1.61,39.72,,Na,0.050165348494
Sodium aluminum sulfate dodecahydrate,Sodium alum,NaAl(SO4)2+12H2O,10102-71-3,458.281,col cry,≈60,,1.61,39.72,,O,0.698237087045
Sodium aluminum sulfate dodecahydrate,Sodium alum,NaAl(SO4)2+12H2O,10102-71-3,458.281,col cry,≈60,,1.61,39.72,,S,0.139936323838
Sodium amide,Sodamide,NaNH2,7782-92-5,39.013,wh-grn orth cry,210,500 dec,1.39,,,H,0.0516728686481
Sodium amide,Sodamide,NaNH2,7782-92-5,39.013,wh-grn orth cry,210,500 dec,1.39,,,N,0.35903246686
Sodium amide,Sodamide,NaNH2,7782-92-5,39.013,wh-grn orth cry,210,500 dec,1.39,,,Na,0.589294664492
Sodium ammonium phosphate tetrahydrate,Microcosmic salt,NaNH4HPO4+4H2O,13011-54-6,209.069,monocl cry,≈80 dec,,1.54,,,H,0.0626742456116
Sodium ammonium phosphate tetrahydrate,Microcosmic salt,NaNH4HPO4+4H2O,13011-54-6,209.069,monocl cry,≈80 dec,,1.54,,,N,0.0669956969361
Sodium ammonium phosphate tetrahydrate,Microcosmic salt,NaNH4HPO4+4H2O,13011-54-6,209.069,monocl cry,≈80 dec,,1.54,,,Na,0.109962776051
Sodium ammonium phosphate tetrahydrate,Microcosmic salt,NaNH4HPO4+4H2O,13011-54-6,209.069,monocl cry,≈80 dec,,1.54,,,O,0.612216127173
Sodium ammonium phosphate tetrahydrate,Microcosmic salt,NaNH4HPO4+4H2O,13011-54-6,209.069,monocl cry,≈80 dec,,1.54,,,P,0.148151154228
Sodium arsenate dodecahydrate,,Na3AsO4+12H2O,7778-43-0,424.072,col monocl prism,86 dec,,,,,As,0.176671940965
Sodium arsenate dodecahydrate,,Na3AsO4+12H2O,7778-43-0,424.072,col monocl prism,86 dec,,,,,H,0.0570435386889
Sodium arsenate dodecahydrate,,Na3AsO4+12H2O,7778-43-0,424.072,col monocl prism,86 dec,,,,,Na,0.162635895164
Sodium arsenate dodecahydrate,,Na3AsO4+12H2O,7778-43-0,424.072,col monocl prism,86 dec,,,,,O,0.603648625182
Sodium arsenite,Sodium metaarsenite,NaAsO2,7784-46-5,129.911,wh-gray hyg powder,,,1.87,,,As,0.576718515688
Sodium arsenite,Sodium metaarsenite,NaAsO2,7784-46-5,129.911,wh-gray hyg powder,,,1.87,,,Na,0.176966664022
Sodium arsenite,Sodium metaarsenite,NaAsO2,7784-46-5,129.911,wh-gray hyg powder,,,1.87,,,O,0.24631482029
Sodium azide,Smite,NaN3,26628-22-8,65.01,col hex cry,300 dec,,1.846,40.82,,N,0.646364936053
Sodium azide,Smite,NaN3,26628-22-8,65.01,col hex cry,300 dec,,1.846,40.82,,Na,0.353635063947
Sodium bismuthate,Sodium metabismuthate,NaBiO3,12232-99-4,279.968,yel-brn hyg cry,,,,,,Bi,0.746442894736
