Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Target,mass_frac
Mercury(II) fulminate,Mercuric fulminate,Hg(CNO)2,628-86-4,284.62,gray cry,exp,,4.42,,Hg,0.704755333008
Mercury(II) fulminate,Mercuric fulminate,Hg(CNO)2,628-86-4,284.62,gray cry,exp,,4.42,,N,0.0984226185039
Mercury(II) fulminate,Mercuric fulminate,Hg(CNO)2,628-86-4,284.62,gray cry,exp,,4.42,,O,0.112424971085
Mercury(I) iodide,Mercurous iodide,Hg2I2,15385-57-6,654.99,yel amorp powder,290,,7.7,,Hg,0.612498891966
Mercury(I) iodide,Mercurous iodide,Hg2I2,15385-57-6,654.99,yel amorp powder,290,,7.7,,I,0.387501108034
Mercury(II) iodide (yellow),β-Mercuric iodide,HgI2,7774-29-0,454.4,yel tetr cry or powder,256,351,6.28,0.005525,Hg,0.441440290332
Mercury(II) iodide (yellow),β-Mercuric iodide,HgI2,7774-29-0,454.4,yel tetr cry or powder,256,351,6.28,0.005525,I,0.558559709668
Mercury(II) nitrate,Mercuric nitrate,Hg(NO3)2,10045-94-0,324.6,col hyg cry,79,,4.3,,Hg,0.617960947604
Mercury(II) nitrate,Mercuric nitrate,Hg(NO3)2,10045-94-0,324.6,col hyg cry,79,,4.3,,N,0.0863013470742
Mercury(II) nitrate,Mercuric nitrate,Hg(NO3)2,10045-94-0,324.6,col hyg cry,79,,4.3,,O,0.295737705322
Mercury(I) nitrite,Mercurous nitrite,Hg2(NO2)2,13492-25-6,493.19,yel cry,100 dec,,7.3,,Hg,0.813437390382
Mercury(I) nitrite,Mercurous nitrite,Hg2(NO2)2,13492-25-6,493.19,yel cry,100 dec,,7.3,,N,0.0568003065749
Mercury(I) nitrite,Mercurous nitrite,Hg2(NO2)2,13492-25-6,493.19,yel cry,100 dec,,7.3,,O,0.129762303043
Mercury(I) oxide,Mercurous oxide,Hg2O,15829-53-5,417.18,prob mixture of HgO+Hg,100 dec,,9.8,,Hg,0.961648633657
Mercury(I) oxide,Mercurous oxide,Hg2O,15829-53-5,417.18,prob mixture of HgO+Hg,100 dec,,9.8,,O,0.0383513663426
Mercury(II) oxide,Mercuric oxide,HgO,21908-53-2,216.59,red or yel orth cry,500 dec,,11.14,,Hg,0.926130272303
Mercury(II) oxide,Mercuric oxide,HgO,21908-53-2,216.59,red or yel orth cry,500 dec,,11.14,,O,0.0738697276967
Mercury(I) sulfate,Mercurous sulfate,Hg2SO4,7783-36-0,497.24,wh-yel cry powder,,,7.56,0.05125,Hg,0.806809392437
